customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0000041,Male,0,Yes,Yes,67,Yes,Fiber optic,No,No,No,No,Yes,No internet,Month-to-month,Yes,Bank transfer,83.85,8045.52,0
0000042,Female,0,No,No,22,Yes,Fiber optic,Yes,No,No internet,No,Yes,No internet,Month-to-month,Yes,Credit card,77.08,7944.01,1
0000043,Female,0,Yes,Yes,66,Yes,Fiber optic,No internet,No,No internet,Yes,Yes,Yes,Month-to-month,Yes,Credit card,26.75,8585.86,1
0000044,Female,0,Yes,No,24,Yes,Fiber optic,No,Yes,Yes,No internet,No,No internet,Month-to-month,Yes,Electronic check,103.74,3744.13,0
0000045,Female,0,No,Yes,14,No,Fiber optic,No,Yes,Yes,No,No internet,No internet,Two year,No,Credit card,105.04,3964.1,1
0000046,Female,1,No,Yes,20,Yes,Fiber optic,Yes,No,No,No internet,No,Yes,Two year,Yes,Bank transfer,104.83,6028.77,1
0000047,Male,0,Yes,No,44,Yes,DSL,No,No,No internet,No,No internet,No,Month-to-month,Yes,Bank transfer,40.43,61.62,0
0000048,Female,0,No,No,9,Yes,Fiber optic,Yes,No,No internet,Yes,Yes,No internet,Month-to-month,No,Electronic check,50.53,10493.03,1
0000049,Female,0,No,Yes,72,Yes,DSL,No internet,No,No internet,Yes,No,No internet,Two year,Yes,Mailed check,93.06,2594.25,0
0000050,Male,0,No,No,15,No,DSL,No internet,No internet,No internet,No internet,No internet,Yes,Month-to-month,No,Bank transfer,59.37,1912.58,0
0000051,Female,0,Yes,Yes,72,Yes,DSL,Yes,Yes,No internet,No,No,No internet,Two year,No,Credit card,63.64,7018.41,0
0000052,Male,0,Yes,Yes,53,Yes,Fiber optic,No internet,No internet,No,No internet,No,No internet,One year,No,Mailed check,78.88,9332.18,0
0000053,Female,1,No,No,36,Yes,Fiber optic,Yes,No,No internet,No,No,Yes,Month-to-month,No,Mailed check,21.39,7068.59,1
0000054,Male,0,No,Yes,15,Yes,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,21.13,6928.67,1
0000055,Female,0,No,No,22,Yes,DSL,No,No internet,No internet,No,No internet,Yes,One year,No,Credit card,24.12,5382.5,0
0000056,Female,0,Yes,Yes,45,Yes,Fiber optic,Yes,No internet,No internet,No,Yes,No internet,Two year,No,Mailed check,40.72,9799.75,0
0000057,Male,0,Yes,No,19,Yes,Fiber optic,Yes,Yes,No internet,No,No internet,No,Month-to-month,No,Bank transfer,118.1,10640.06,1
0000058,Male,0,No,No,33,Yes,No,No,No internet,No internet,No,Yes,Yes,Month-to-month,No,Electronic check,28.02,6556.0,1
0000059,Male,0,Yes,No,39,Yes,DSL,Yes,No,No internet,Yes,No,No internet,One year,Yes,Mailed check,108.16,886.08,1
0000060,Male,0,Yes,Yes,17,Yes,No,No,No internet,No,Yes,Yes,No internet,Month-to-month,No,Mailed check,30.23,1127.71,1
0000061,Male,0,Yes,No,19,Yes,No,Yes,No internet,Yes,No,No,No,Two year,Yes,Electronic check,93.15,4623.15,1
0000062,Male,0,No,No,5,Yes,Fiber optic,No,No,No,No internet,No internet,No,Month-to-month,Yes,Credit card,82.94,5424.72,1
0000063,Male,0,Yes,No,7,Yes,DSL,No internet,No,Yes,No internet,No internet,No internet,Two year,Yes,Electronic check,92.26,7053.49,1
0000064,Male,0,No,No,58,Yes,Fiber optic,No internet,No internet,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,26.84,10927.03,0
0000065,Female,0,No,No,45,Yes,Fiber optic,No,No,Yes,No internet,No,No internet,Month-to-month,No,Mailed check,94.69,7791.85,1
0000066,Female,0,No,No,0,Yes,No,No,Yes,No internet,No,Yes,No,Month-to-month,Yes,Credit card,51.33,9609.08,1
0000067,Male,1,Yes,No,50,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Credit card,43.68,10371.56,0
0000068,Female,1,Yes,No,0,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,81.7,2168.48,1
0000069,Female,0,No,No,15,Yes,No,No,No,Yes,No,No internet,No,Two year,Yes,Credit card,28.27,3683.57,0
0000070,Female,0,No,Yes,1,Yes,Fiber optic,No internet,Yes,No internet,No,No,No,One year,No,Electronic check,42.61,7573.99,1
0000071,Female,0,No,No,72,Yes,Fiber optic,No,Yes,No internet,No internet,No internet,No internet,One year,No,Electronic check,74.38,7189.34,0
0000072,Male,0,No,No,72,Yes,Fiber optic,Yes,No internet,No,No internet,No,No internet,One year,No,Bank transfer,97.53,4667.05,0
0000073,Female,1,No,No,23,Yes,DSL,No internet,No internet,Yes,No,No,No internet,Month-to-month,No,Bank transfer,106.63,9397.83,1
0000074,Male,0,No,Yes,12,Yes,DSL,No,No internet,Yes,No,No internet,Yes,Two year,Yes,Electronic check,61.5,10790.76,1
0000075,Female,1,Yes,No,17,Yes,DSL,Yes,No internet,Yes,No internet,Yes,Yes,Two year,No,Bank transfer,117.55,4394.41,1
0000076,Female,1,Yes,No,35,Yes,No,No internet,Yes,No,No internet,Yes,Yes,Month-to-month,No,Mailed check,96.91,3834.62,1
0000077,Female,0,No,No,6,Yes,DSL,Yes,Yes,No internet,No,No internet,No,Two year,Yes,Electronic check,59.05,3184.26,0
0000078,Male,0,Yes,No,14,Yes,Fiber optic,No,Yes,No internet,No internet,No,Yes,Two year,Yes,Mailed check,57.93,6182.67,0
0000079,Female,0,No,No,33,Yes,No,Yes,No,No,No,No internet,No,One year,Yes,Electronic check,62.86,6742.32,1
0000080,Male,1,Yes,No,12,Yes,DSL,Yes,Yes,No internet,Yes,Yes,No,Month-to-month,Yes,Mailed check,94.21,2018.73,1
0000081,Female,0,No,Yes,0,Yes,DSL,No internet,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer,50.62,3116.5,1
0000082,Male,1,Yes,Yes,17,Yes,Fiber optic,Yes,No,Yes,No internet,No internet,Yes,Month-to-month,Yes,Electronic check,28.43,1345.29,1
0000083,Female,0,Yes,Yes,33,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.41,9950.27,0
0000084,Male,0,No,Yes,72,No,DSL,No internet,No internet,No internet,No internet,No,No,Two year,Yes,Bank transfer,80.92,7140.15,0
0000085,Male,1,Yes,No,0,No,DSL,No,No,No,No internet,No internet,Yes,Month-to-month,Yes,Mailed check,113.91,6125.14,0
0000086,Female,0,Yes,No,19,No,Fiber optic,Yes,Yes,No,No internet,No internet,No,One year,Yes,Electronic check,31.73,10163.26,1
0000087,Male,0,Yes,No,14,Yes,Fiber optic,No,Yes,No internet,Yes,Yes,No,Month-to-month,No,Bank transfer,72.41,10810.1,0
0000088,Female,0,No,No,6,Yes,Fiber optic,No internet,Yes,No,No,No internet,Yes,Month-to-month,Yes,Bank transfer,40.06,292.93,0
0000089,Female,0,No,No,25,Yes,Fiber optic,No,Yes,Yes,Yes,No internet,No,Month-to-month,No,Credit card,95.14,8696.19,0
0000090,Female,0,No,No,4,Yes,Fiber optic,Yes,Yes,No,Yes,No internet,Yes,One year,No,Bank transfer,54.09,5936.34,0
0000091,Female,0,Yes,No,8,Yes,DSL,Yes,Yes,Yes,Yes,No internet,Yes,One year,No,Bank transfer,83.07,47.02,0
0000092,Female,1,No,Yes,38,Yes,No,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,35.59,4737.36,0
0000093,Female,1,Yes,No,15,Yes,DSL,No,Yes,No,Yes,No,No internet,Month-to-month,No,Electronic check,77.27,8516.97,1
0000094,Female,0,No,Yes,72,Yes,DSL,Yes,No,Yes,No,No,Yes,Two year,Yes,Electronic check,19.56,8176.0,0
0000095,Female,0,No,No,12,Yes,Fiber optic,No internet,No internet,No,No,No internet,No,Month-to-month,Yes,Bank transfer,103.76,10202.9,1
0000096,Female,0,No,No,15,Yes,Fiber optic,Yes,Yes,No,No internet,Yes,No internet,Two year,No,Bank transfer,78.22,6843.42,1
0000097,Female,0,No,No,8,Yes,DSL,Yes,No internet,No internet,No internet,No internet,No internet,Month-to-month,Yes,Credit card,40.49,2504.22,1
0000098,Female,1,No,Yes,6,No,Fiber optic,No,No internet,No,No internet,No internet,No internet,Two year,Yes,Bank transfer,52.12,7993.49,0
0000099,Male,0,No,No,63,Yes,No,Yes,No internet,Yes,No internet,No internet,No,Two year,No,Electronic check,33.3,10793.97,0
0000100,Male,0,Yes,No,34,Yes,Fiber optic,No,Yes,No,No,No internet,No,Month-to-month,Yes,Electronic check,86.65,9740.61,1
0000101,Female,0,No,Yes,10,Yes,No,No internet,No,No,No internet,No,No internet,Two year,Yes,Credit card,56.22,43.26,1
0000102,Female,0,Yes,Yes,30,No,Fiber optic,Yes,No internet,No internet,No,No internet,No,One year,No,Electronic check,115.34,4760.26,1
0000103,Female,0,Yes,No,72,Yes,No,No internet,Yes,No internet,No internet,No internet,Yes,Month-to-month,No,Credit card,109.26,2304.19,0
0000104,Female,0,Yes,Yes,1,Yes,DSL,No internet,No,Yes,Yes,No internet,No internet,Two year,Yes,Bank transfer,101.04,5438.47,1
0000105,Female,0,Yes,No,7,Yes,No,Yes,No internet,Yes,No,No,No internet,One year,Yes,Mailed check,45.02,4321.95,0
0000106,Female,0,Yes,No,5,Yes,DSL,No,Yes,Yes,No,Yes,No internet,Month-to-month,Yes,Credit card,47.72,6191.97,1
0000107,Female,0,No,No,50,Yes,DSL,No,No,Yes,No internet,Yes,No internet,Month-to-month,No,Electronic check,59.7,9088.65,0
0000108,Female,0,Yes,Yes,4,Yes,No,Yes,No,No internet,No internet,Yes,No,One year,Yes,Credit card,111.66,7077.25,0
0000109,Male,0,Yes,No,9,Yes,Fiber optic,No,Yes,No,Yes,Yes,No internet,Month-to-month,No,Mailed check,66.32,3949.83,1
0000110,Female,0,No,No,19,Yes,No,No,No internet,No internet,Yes,Yes,No internet,Month-to-month,No,Credit card,27.77,3732.17,1
0000111,Male,0,Yes,Yes,24,Yes,Fiber optic,No internet,Yes,No internet,No,No internet,No internet,Two year,No,Credit card,41.8,2325.59,0
0000112,Female,0,No,Yes,41,No,Fiber optic,No,No internet,No internet,No internet,No internet,No internet,One year,Yes,Credit card,22.86,5679.98,0
0000113,Female,0,No,Yes,13,Yes,DSL,No,Yes,No,No,Yes,Yes,One year,No,Electronic check,23.86,8924.28,1
0000114,Male,0,No,No,19,Yes,DSL,Yes,No,No,No internet,No,No internet,Month-to-month,Yes,Bank transfer,112.13,31.08,0
0000115,Female,1,No,No,72,Yes,DSL,No internet,No,No internet,No,No internet,No,Month-to-month,Yes,Bank transfer,80.93,7799.88,1
0000116,Male,1,Yes,Yes,8,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,28.33,5587.44,0
0000117,Female,0,Yes,No,7,Yes,DSL,Yes,No,No internet,No internet,No,Yes,One year,No,Bank transfer,77.54,9463.25,1
0000118,Female,1,Yes,No,30,Yes,Fiber optic,No,No,No internet,No internet,Yes,No internet,Month-to-month,No,Bank transfer,117.08,5629.73,1
0000119,Male,0,No,No,36,No,No,No internet,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,19.55,9669.25,0
0000120,Female,0,Yes,No,13,Yes,Fiber optic,No internet,Yes,No internet,No internet,Yes,Yes,Two year,No,Mailed check,93.99,8137.89,1
0000121,Male,0,Yes,Yes,5,No,Fiber optic,No internet,Yes,No internet,No,No internet,Yes,Two year,Yes,Mailed check,35.99,5351.48,1
0000122,Female,0,Yes,Yes,37,Yes,Fiber optic,No internet,No internet,No internet,No internet,Yes,No,One year,Yes,Bank transfer,56.46,3297.27,1
0000123,Male,0,No,No,27,Yes,No,No internet,No internet,Yes,No internet,Yes,Yes,Month-to-month,No,Bank transfer,29.64,10719.03,0
0000124,Male,0,Yes,Yes,52,Yes,DSL,No internet,No,No,Yes,Yes,No internet,Month-to-month,No,Credit card,18.66,2315.35,0
0000125,Female,0,No,No,46,Yes,DSL,Yes,No,Yes,No internet,Yes,Yes,Month-to-month,Yes,Mailed check,28.24,8568.6,1
0000126,Female,0,Yes,No,5,Yes,DSL,No internet,No,No,Yes,Yes,No internet,Two year,No,Electronic check,76.42,7532.73,1
0000127,Male,0,Yes,No,44,Yes,No,No,No internet,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,109.91,4528.19,1
0000128,Female,1,Yes,No,4,Yes,Fiber optic,No,No internet,No,No,No internet,No,One year,No,Mailed check,20.2,7907.6,1
0000129,Female,0,No,No,49,Yes,Fiber optic,No,Yes,Yes,No,No internet,Yes,Month-to-month,Yes,Bank transfer,24.41,1443.69,1
0000130,Female,0,No,No,36,Yes,DSL,No,No internet,No internet,No,No internet,No,One year,Yes,Electronic check,34.61,2666.74,0
0000131,Male,0,Yes,No,21,Yes,DSL,No internet,No,No,No internet,No,No internet,Month-to-month,No,Credit card,117.25,7916.56,1
0000132,Male,0,Yes,No,25,Yes,Fiber optic,No internet,Yes,Yes,No internet,Yes,No internet,Month-to-month,Yes,Mailed check,35.36,1424.53,0
0000133,Male,0,No,No,2,No,DSL,Yes,No internet,Yes,No,No internet,No internet,Month-to-month,No,Mailed check,65.88,9969.17,1
0000134,Male,0,Yes,No,1,Yes,DSL,No internet,Yes,Yes,No internet,No,Yes,Month-to-month,Yes,Bank transfer,22.27,6581.31,1
0000135,Male,0,Yes,Yes,10,Yes,DSL,No,No internet,No,Yes,Yes,No internet,One year,No,Credit card,104.77,800.63,1
0000136,Male,0,Yes,Yes,43,Yes,No,Yes,No internet,No internet,No,No internet,No internet,Month-to-month,No,Mailed check,114.65,8460.56,1
0000137,Male,0,Yes,No,15,No,DSL,Yes,No internet,Yes,No internet,No,No,Month-to-month,Yes,Mailed check,95.14,4824.2,1
0000138,Male,0,Yes,No,6,Yes,DSL,Yes,No,No,No internet,No,Yes,One year,No,Bank transfer,75.45,3273.65,1
0000139,Male,0,Yes,No,44,Yes,Fiber optic,Yes,No internet,No,Yes,No internet,No,Month-to-month,Yes,Electronic check,43.38,5854.25,1
0000140,Female,0,Yes,No,6,Yes,No,No internet,No,No internet,No,Yes,No internet,Month-to-month,Yes,Mailed check,36.25,8267.36,1
0000141,Male,0,No,Yes,42,Yes,Fiber optic,Yes,Yes,No internet,No,No,No internet,Month-to-month,No,Bank transfer,70.59,10022.0,1
0000142,Female,0,Yes,No,15,Yes,No,No internet,No internet,No internet,No internet,No,No,One year,Yes,Bank transfer,47.64,3538.16,0
0000143,Female,1,No,No,15,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card,86.39,7644.07,1
0000144,Female,1,Yes,No,7,Yes,Fiber optic,No internet,No,No,Yes,No,No,Month-to-month,Yes,Credit card,45.04,3766.75,0
0000145,Male,1,No,No,57,Yes,Fiber optic,No internet,Yes,No internet,No,Yes,No internet,Two year,Yes,Electronic check,35.36,166.87,0
0000146,Male,0,Yes,No,2,Yes,No,No,Yes,Yes,Yes,No internet,No,Month-to-month,Yes,Mailed check,77.32,10590.83,1
0000147,Male,0,No,No,3,Yes,No,No internet,Yes,No internet,No internet,Yes,Yes,Month-to-month,No,Credit card,95.61,3292.64,1
0000148,Male,0,Yes,No,25,No,No,Yes,No internet,No internet,Yes,No,Yes,One year,Yes,Mailed check,25.52,5119.87,0
0000149,Female,0,No,No,47,Yes,DSL,Yes,No internet,No internet,No internet,Yes,No,Month-to-month,Yes,Mailed check,81.15,7147.43,1
0000150,Male,0,Yes,No,2,Yes,Fiber optic,No internet,Yes,No internet,No internet,Yes,Yes,Month-to-month,No,Mailed check,101.18,7483.85,1
0000151,Male,0,Yes,Yes,33,Yes,Fiber optic,No internet,No internet,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,18.65,9052.65,0
0000152,Male,1,No,No,33,Yes,Fiber optic,No internet,No,Yes,Yes,Yes,Yes,Two year,No,Electronic check,40.84,4213.32,0
0000153,Male,0,No,No,21,Yes,DSL,No internet,No,No internet,Yes,No,No,Month-to-month,Yes,Mailed check,48.45,7789.23,1
0000154,Male,1,Yes,No,16,Yes,DSL,No,No internet,No,No internet,No internet,Yes,Month-to-month,No,Bank transfer,19.43,6775.31,1
0000155,Female,0,No,No,9,Yes,DSL,No,No internet,No,No,No internet,Yes,One year,Yes,Mailed check,87.15,10837.9,0
0000156,Male,0,Yes,No,10,No,Fiber optic,No,No,Yes,No internet,Yes,No internet,Month-to-month,No,Electronic check,60.78,8141.17,1
0000157,Female,0,Yes,No,28,Yes,No,No,No,No internet,Yes,No internet,No,Month-to-month,No,Electronic check,84.03,10393.29,1
0000158,Male,0,No,No,1,Yes,No,No,No internet,No,No internet,No,No internet,Month-to-month,Yes,Mailed check,59.3,3132.73,1
0000159,Female,0,Yes,No,21,Yes,DSL,No internet,No internet,Yes,Yes,No,No internet,Month-to-month,Yes,Credit card,35.74,5027.46,0
0000160,Male,0,No,Yes,8,Yes,No,No,Yes,Yes,Yes,No internet,No,Two year,No,Credit card,70.61,5831.58,1
0000161,Male,0,Yes,No,15,No,DSL,No,Yes,Yes,No,No internet,Yes,Month-to-month,Yes,Mailed check,91.77,9333.23,1
0000162,Female,0,No,Yes,20,Yes,Fiber optic,No internet,No internet,Yes,No internet,No,No internet,Month-to-month,Yes,Credit card,33.78,4683.21,1
0000163,Female,1,No,Yes,54,Yes,No,No internet,No,No internet,Yes,Yes,Yes,Two year,Yes,Bank transfer,54.08,6136.86,0
0000164,Female,0,No,No,21,Yes,Fiber optic,Yes,No internet,Yes,No internet,Yes,Yes,Month-to-month,Yes,Bank transfer,92.91,1527.0,1
0000165,Male,1,No,No,6,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Mailed check,84.95,2133.29,1
0000166,Female,0,Yes,Yes,2,Yes,Fiber optic,Yes,No internet,No internet,Yes,No internet,No,Month-to-month,Yes,Credit card,119.95,4311.16,1
0000167,Male,0,No,No,24,Yes,DSL,No,No internet,Yes,Yes,No internet,No internet,Month-to-month,Yes,Electronic check,35.7,574.47,0
0000168,Male,0,Yes,No,19,Yes,DSL,No internet,No,No,No internet,No internet,No internet,One year,No,Bank transfer,53.1,858.47,0
0000169,Female,0,No,Yes,27,Yes,Fiber optic,Yes,No,No,No internet,No internet,No,Month-to-month,No,Mailed check,38.21,7752.61,0
0000170,Female,0,No,No,15,Yes,No,Yes,No internet,No,No internet,No internet,Yes,Month-to-month,Yes,Electronic check,42.9,799.19,1
0000171,Male,0,No,No,43,Yes,No,No,No,No internet,No,No internet,Yes,One year,Yes,Electronic check,37.96,40.48,0
0000172,Male,0,No,No,63,Yes,Fiber optic,Yes,No,No internet,No,No internet,Yes,Month-to-month,No,Bank transfer,118.89,707.46,1
0000173,Female,0,Yes,No,1,Yes,DSL,No internet,No internet,No,Yes,No internet,No,Month-to-month,No,Credit card,83.93,7033.86,0
0000174,Female,0,No,No,34,Yes,No,No internet,Yes,No internet,No internet,Yes,No internet,Two year,No,Electronic check,26.63,6191.99,0
0000175,Female,0,Yes,No,0,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No internet,Two year,No,Mailed check,71.1,8966.42,1
0000176,Male,0,No,No,14,Yes,Fiber optic,No internet,No,Yes,No internet,No internet,No,Month-to-month,No,Mailed check,26.45,2277.59,1
0000177,Male,0,Yes,No,15,Yes,Fiber optic,Yes,No internet,Yes,No internet,No internet,No internet,One year,Yes,Credit card,57.83,6490.37,1
0000178,Male,0,No,No,29,Yes,No,Yes,No,No internet,No,Yes,No internet,Month-to-month,No,Credit card,83.29,8880.06,1
0000179,Male,0,Yes,No,10,Yes,DSL,No internet,No internet,No internet,No internet,No,No,Month-to-month,No,Credit card,22.84,7910.95,0
0000180,Male,0,No,Yes,42,Yes,DSL,No internet,Yes,No internet,Yes,Yes,No internet,Month-to-month,No,Credit card,22.73,3512.5,0
0000181,Male,0,Yes,Yes,10,Yes,DSL,No,Yes,No,Yes,No internet,Yes,One year,No,Mailed check,43.56,6804.19,0
0000182,Female,0,No,No,10,Yes,Fiber optic,No,Yes,Yes,No internet,Yes,Yes,Month-to-month,Yes,Mailed check,85.23,8054.8,1
0000183,Male,0,Yes,No,6,Yes,Fiber optic,Yes,No,No,No,No internet,No,One year,Yes,Electronic check,112.31,9013.3,1
0000184,Male,0,No,Yes,28,No,Fiber optic,No internet,Yes,No,No internet,Yes,Yes,Month-to-month,Yes,Electronic check,45.72,10874.54,1
0000185,Male,0,Yes,No,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,115.56,4407.09,1
0000186,Female,1,No,Yes,11,Yes,Fiber optic,No,No,No internet,No internet,Yes,Yes,Two year,Yes,Credit card,73.93,352.71,1
0000187,Male,0,Yes,Yes,7,Yes,Fiber optic,Yes,No internet,No,No,No internet,No internet,One year,Yes,Electronic check,69.28,5767.52,1
0000188,Male,0,No,Yes,6,Yes,DSL,No internet,Yes,No,No,No,No internet,Month-to-month,No,Mailed check,28.53,3551.48,1
0000189,Female,0,Yes,No,1,Yes,Fiber optic,No internet,No internet,No internet,No,No internet,Yes,Two year,Yes,Mailed check,115.46,3336.24,1
0000190,Male,0,No,No,5,Yes,DSL,No,No internet,No internet,No,No,Yes,Month-to-month,No,Bank transfer,98.73,7523.29,1
0000191,Male,0,Yes,Yes,14,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,18.33,496.68,0
0000192,Male,0,Yes,No,17,Yes,DSL,Yes,No internet,No,No internet,No,Yes,Month-to-month,No,Electronic check,98.88,5965.98,1
