SeniorCitizen,tenure,MonthlyCharges,TotalCharges,cluster
0,14,57.93,6182.67,1
0,33,62.86,6742.32,1
1,12,94.21,2018.73,0
0,0,50.62,3116.5,2
1,17,28.43,1345.29,0
0,33,75.41,9950.27,1
0,72,80.92,7140.15,1
1,0,113.91,6125.14,0
0,19,31.73,10163.26,1
0,14,72.41,10810.1,1
0,6,40.06,292.93,2
0,25,95.14,8696.19,1
0,4,54.09,5936.34,1
0,8,83.07,47.02,2
1,38,35.59,4737.36,0
1,15,77.27,8516.97,0
0,72,19.56,8176.0,1
0,12,103.76,10202.9,1
0,15,78.22,6843.42,1
0,8,40.49,2504.22,2
1,6,52.12,7993.49,0
0,63,33.3,10793.97,1
0,34,86.65,9740.61,1
0,10,56.22,43.26,2
0,30,115.34,4760.26,2
0,72,109.26,2304.19,2
0,1,101.04,5438.47,1
0,7,45.02,4321.95,2
0,5,47.72,6191.97,1
0,50,59.7,9088.65,1
0,4,111.66,7077.25,1
0,9,66.32,3949.83,2
0,19,27.77,3732.17,2
0,24,41.8,2325.59,2
0,41,22.86,5679.98,1
0,13,23.86,8924.28,1
0,19,112.13,31.08,2
1,72,80.93,7799.88,0
1,8,28.33,5587.44,0
0,7,77.54,9463.25,1
1,30,117.08,5629.73,0
0,36,19.55,9669.25,1
0,13,93.99,8137.89,1
0,5,35.99,5351.48,2
0,37,56.46,3297.27,2
0,27,29.64,10719.03,1
0,52,18.66,2315.35,2
0,46,28.24,8568.6,1
0,5,76.42,7532.73,1
0,44,109.91,4528.19,2
1,4,20.2,7907.6,0
0,49,24.41,1443.69,2
0,36,34.61,2666.74,2
0,21,117.25,7916.56,1
0,25,35.36,1424.53,2
0,2,65.88,9969.17,1
0,1,22.27,6581.31,1
0,10,104.77,800.63,2
0,43,114.65,8460.56,1
0,15,95.14,4824.2,2
0,6,75.45,3273.65,2
0,44,43.38,5854.25,1
0,6,36.25,8267.36,1
0,42,70.59,10022.0,1
0,15,47.64,3538.16,2
1,15,86.39,7644.07,0
1,7,45.04,3766.75,0
1,57,35.36,166.87,0
0,2,77.32,10590.83,1
0,3,95.61,3292.64,2
0,25,25.52,5119.87,2
0,47,81.15,7147.43,1
0,2,101.18,7483.85,1
0,33,18.65,9052.65,1
1,33,40.84,4213.32,0
0,21,48.45,7789.23,1
1,16,19.43,6775.31,0
0,9,87.15,10837.9,1
0,10,60.78,8141.17,1
0,28,84.03,10393.29,1
0,1,59.3,3132.73,2
0,21,35.74,5027.46,2
0,8,70.61,5831.58,1
0,15,91.77,9333.23,1
0,20,33.78,4683.21,2
1,54,54.08,6136.86,0
0,21,92.91,1527.0,2
1,6,84.95,2133.29,0
0,2,119.95,4311.16,2
0,24,35.7,574.47,2
0,19,53.1,858.47,2
0,27,38.21,7752.61,1
0,15,42.9,799.19,2
0,43,37.96,40.48,2
0,63,118.89,707.46,2
0,1,83.93,7033.86,1
0,34,26.63,6191.99,1
0,0,71.1,8966.42,1
0,14,26.45,2277.59,2
0,15,57.83,6490.37,1
0,29,83.29,8880.06,1
0,10,22.84,7910.95,1
0,42,22.73,3512.5,2
0,10,43.56,6804.19,1
0,10,85.23,8054.8,1
0,6,112.31,9013.3,1
0,28,45.72,10874.54,1
0,1,115.56,4407.09,2
1,11,73.93,352.71,0
0,7,69.28,5767.52,1
0,6,28.53,3551.48,2
0,1,115.46,3336.24,2
0,5,98.73,7523.29,1
0,14,18.33,496.68,2
0,17,98.88,5965.98,1
0,7,74.44,6990.48,1
0,26,28.17,7994.22,1
0,10,89.53,10589.18,1
0,11,85.94,116.82,2
1,38,87.56,5768.43,0
0,20,107.31,9616.14,1
1,72,95.53,2258.89,0
0,11,110.92,10737.64,1
1,43,56.98,2108.75,0
1,33,75.34,7015.23,0
0,55,118.55,840.12,2
0,72,78.19,5720.35,1
0,0,61.08,2770.51,2
0,2,65.65,3436.25,2
0,28,93.35,4083.29,2
0,12,55.25,2583.19,2
0,42,22.91,9538.72,1
0,0,111.29,1690.42,2
1,41,67.15,4742.54,0
0,3,70.92,10794.59,1
0,8,54.92,6474.53,1
0,72,111.85,6951.56,1
1,1,36.83,8026.58,0
0,10,57.85,9541.56,1
0,2,56.69,9026.93,1
0,48,69.29,4017.82,2
0,30,116.85,9215.92,1
0,40,38.42,2268.29,2
1,18,82.77,4463.25,0
0,11,74.9,7355.39,1
0,0,44.76,2705.91,2
1,8,60.16,3914.62,0
0,18,61.07,5646.18,1
0,27,41.63,2669.11,2
1,6,67.42,8372.82,0
0,3,36.95,8018.58,1
0,5,39.06,10144.66,1
0,10,104.6,740.82,2
0,4,113.25,9902.2,1
0,4,57.74,193.87,2
0,1,19.07,9067.23,1
0,48,108.81,2840.68,2
1,6,98.71,7186.91,0
0,43,60.43,7368.43,1
1,14,81.18,4258.06,0
0,25,111.24,2290.81,2
0,1,118.73,419.95,2
0,21,65.53,6381.9,1
0,8,65.85,7746.78,1
0,2,106.86,4133.83,2
1,59,94.07,2113.53,0
0,23,99.2,1801.26,2
0,6,81.14,2936.03,2
0,13,55.22,8803.22,1
0,11,37.46,1681.28,2
0,30,115.19,4790.9,2
0,23,33.51,7175.77,1
0,0,63.66,9323.48,1
0,5,66.73,5641.66,1
0,16,108.84,7489.32,1
0,14,90.43,5626.05,1
0,18,42.53,8336.31,1
1,31,38.44,8645.25,0
0,28,114.61,8600.02,1
0,11,22.45,8099.65,1
0,52,109.28,8902.09,1
0,1,40.24,8812.66,1
1,21,27.18,9502.9,0
0,72,46.96,5148.24,2
0,19,74.33,9768.04,1
0,15,105.79,839.99,2
0,3,87.01,3942.88,2
0,41,96.86,10164.19,1
0,11,111.21,4570.69,2
0,30,18.56,9505.94,1
0,5,84.41,6100.1,1
0,1,57.32,2849.57,2
1,9,80.52,1092.59,0
0,8,23.39,7673.79,1
0,51,33.34,2478.17,2
0,50,91.23,6353.15,1
1,19,107.91,4332.7,0
0,0,68.76,7377.96,1
1,6,37.77,6848.32,0
0,25,93.15,6694.94,1
0,2,23.25,5682.65,1
0,30,92.35,7584.56,1
0,0,100.49,7858.86,1
0,28,24.22,2332.91,2
0,46,59.15,6564.71,1
0,15,30.49,164.99,2
0,44,101.69,5691.88,1
0,38,101.69,8738.8,1
0,27,112.08,683.33,2
0,14,31.49,3563.76,2
0,7,91.43,419.35,2
0,49,108.69,6230.65,1
0,26,62.92,10189.51,1
1,39,51.48,3579.92,0
0,20,90.88,4032.95,2
0,4,59.46,2360.47,2
0,72,63.43,8105.79,1
1,5,91.65,5577.36,0
0,60,64.16,3055.73,2
0,5,102.07,488.71,2
1,11,89.92,9382.25,0
0,14,114.58,7613.52,1
0,63,72.98,10746.07,1
0,54,85.16,6186.48,1
0,43,24.04,10549.43,1
0,11,96.83,7666.72,1
0,0,81.46,4747.21,2
0,28,67.05,2587.87,2
1,13,117.14,673.81,0
0,35,58.34,76.52,2
0,39,31.81,9143.92,1
0,14,46.48,6863.65,1
0,34,110.89,2070.67,2
0,45,39.38,7550.42,1
0,65,116.51,10089.82,1
0,21,87.31,640.01,2
0,37,38.59,8849.99,1
0,17,24.77,9193.1,1
0,1,66.22,7178.47,1
0,4,69.27,10300.13,1
0,3,53.58,10630.5,1
0,4,22.62,8506.59,1
1,0,112.32,1867.37,0
0,48,79.06,930.81,2
0,20,67.41,4666.72,2
0,12,54.38,4426.4,2
0,13,87.04,1593.27,2
0,15,71.87,459.29,2
1,1,104.48,2749.65,0
1,8,74.78,3190.25,0
0,47,71.23,10159.55,1
0,34,38.24,10780.19,1
0,20,25.52,10838.0,1
0,16,39.53,8937.66,1
0,7,34.46,8488.26,1
0,15,91.83,10321.35,1
0,22,44.08,3756.66,2
0,31,86.93,5930.57,1
0,4,77.31,6471.03,1
1,41,43.58,6333.15,0
0,10,80.44,4761.82,2
0,17,88.96,10731.84,1
0,23,19.87,3527.85,2
1,16,74.96,2451.82,0
1,21,96.76,8125.8,0
0,2,29.62,10102.78,1
0,14,57.98,10651.09,1
0,8,48.16,8843.49,1
0,2,83.08,4227.36,2
0,5,95.69,8962.11,1
0,23,116.38,8394.46,1
0,5,68.76,4441.19,2
0,4,91.28,1168.53,2
0,20,71.43,9398.72,1
1,58,54.57,3374.4,0
0,38,38.86,1261.65,2
0,58,108.57,10854.57,1
0,21,77.6,10187.38,1
0,13,83.34,8329.36,1
0,32,80.93,761.14,2
0,7,42.2,7957.95,1
1,2,50.94,7274.43,0
0,10,104.17,2725.87,2
0,8,63.81,5057.38,2
0,28,19.49,10610.25,1
0,20,62.53,213.49,2
0,3,41.74,5174.12,2
0,59,105.93,6430.92,1
0,22,70.24,9553.12,1
0,15,119.4,7763.24,1
0,69,21.32,1119.66,2
0,2,74.3,4164.15,2
0,38,23.36,1388.42,2
0,11,46.98,10241.49,1
0,29,41.44,7610.67,1
0,66,46.79,2765.52,2
1,18,118.04,1572.53,0
0,0,46.4,1378.72,2
0,0,34.77,5637.3,1
1,10,115.04,2895.51,0
0,38,81.77,10642.88,1
0,8,47.23,4331.06,2
0,10,85.24,10921.79,1
0,38,98.45,9475.48,1
0,3,19.72,9965.2,1
0,46,41.97,4289.67,2
0,7,76.23,1353.3,2
0,1,70.11,9237.9,1
1,3,60.97,75.35,0
0,72,21.15,4942.26,2
1,15,115.01,1630.96,0
0,7,90.94,9928.4,1
0,18,119.52,9556.4,1
0,28,107.23,1531.24,2
0,9,76.51,6075.68,1
0,32,53.93,2590.72,2
0,7,34.73,5669.42,1
0,2,39.56,10742.25,1
1,19,106.54,2550.02,0
0,4,105.84,736.79,2
0,70,105.78,2813.94,2
0,0,105.79,10826.84,1
0,35,37.01,916.83,2
0,8,105.08,433.03,2
0,46,30.78,1682.84,2
0,1,60.28,8874.82,1
1,72,119.25,5195.71,0
0,2,89.18,3735.82,2
0,38,83.97,7240.2,1
0,18,41.15,1078.33,2
0,14,93.14,7668.25,1
0,8,73.85,3357.02,2
0,46,67.11,9427.02,1
1,5,41.87,7972.09,0
0,31,30.73,9656.22,1
0,14,41.33,2048.72,2
1,72,69.53,1649.09,0
0,23,116.39,7831.12,1
0,2,43.76,10133.77,1
0,13,87.11,8857.47,1
0,1,35.9,10347.48,1
0,8,59.58,142.04,2
0,10,46.21,1981.88,2
0,47,53.23,6811.25,1
0,45,40.7,4662.05,2
0,0,117.26,8423.11,1
0,18,51.87,759.91,2
0,6,106.98,6945.84,1
0,9,52.38,10224.27,1
0,0,70.28,2541.75,2
0,34,111.25,7496.49,1
0,72,40.29,3795.03,2
1,6,65.02,4094.44,0
0,10,114.71,5674.45,1
0,5,104.84,3350.21,2
0,66,73.11,10633.7,1
0,0,42.57,499.17,2
0,21,73.69,8072.87,1
1,51,103.24,911.75,0
0,5,87.45,9395.96,1
0,22,69.91,5256.42,2
0,1,42.98,2475.43,2
1,42,82.97,5410.35,0
0,8,48.35,10510.51,1
1,72,19.26,1816.15,0
0,63,56.73,6664.25,1
0,32,38.58,5229.21,2
0,17,109.17,7680.27,1
0,36,30.32,1923.87,2
0,3,52.6,6559.86,1
0,9,39.91,9362.7,1
0,0,35.22,300.41,2
0,25,68.52,8832.35,1
0,40,118.07,5231.16,2
0,72,56.96,2124.91,2
0,28,67.82,6698.69,1
0,32,82.92,3314.55,2
0,56,88.68,10837.18,1
0,68,64.0,2993.75,2
0,16,26.17,7865.99,1
0,2,103.59,5530.77,1
0,15,74.32,4355.54,2
0,20,65.76,5792.86,1
0,24,103.81,3371.56,2
0,72,79.02,5088.87,2
0,62,39.67,4138.81,2
0,12,61.19,7125.6,1
0,3,88.2,7948.75,1
0,6,118.54,8459.24,1
0,4,80.45,8652.01,1
0,11,37.83,3902.17,2
0,52,19.77,6776.94,1
0,14,48.96,5579.07,1
0,20,61.64,7048.02,1
1,4,81.52,3906.56,0
0,16,37.86,2121.09,2
0,51,26.55,7991.11,1
0,37,40.81,4172.46,2
0,2,72.51,8055.41,1
0,49,31.28,7787.6,1
0,7,33.66,10926.05,1
0,27,109.4,4034.49,2
0,3,27.12,7517.6,1
1,28,89.3,7631.31,0
0,0,20.52,10325.77,1
0,22,77.87,5497.4,1
0,25,102.14,7319.82,1
0,7,72.5,8306.97,1
0,69,44.06,10884.07,1
0,1,20.07,5061.24,2
0,55,19.02,2837.33,2
0,12,101.77,6668.17,1
0,31,82.05,4785.81,2
0,26,64.42,1097.28,2
0,4,69.64,4920.03,2
1,9,72.13,7645.23,0
0,18,54.57,5060.83,2
0,46,102.71,6294.86,1
0,72,119.35,7812.51,1
0,0,70.16,5595.76,1
0,10,68.34,1081.73,2
0,27,112.52,7619.84,1
1,18,85.56,2152.12,0
0,71,83.14,7880.91,1
0,0,24.3,3388.6,2
0,14,67.93,5915.16,1
0,27,79.35,726.87,2
0,6,101.46,3159.03,2
0,32,92.81,10172.94,1
0,2,119.03,5785.27,1
0,14,25.99,9986.84,1
0,28,73.78,10339.23,1
1,7,29.32,3061.39,0
0,1,99.99,9967.0,1
0,72,76.66,7239.67,1
0,61,45.95,5994.56,1
0,65,62.91,4469.56,2
0,72,112.97,2789.63,2
0,5,97.51,4403.27,2
0,4,72.24,7198.01,1
0,0,99.71,4004.97,2
0,55,21.12,3889.98,2
1,34,109.5,5995.2,0
0,25,94.7,517.14,2
0,65,99.24,6738.21,1
0,21,72.71,3231.96,2
0,3,88.88,5422.84,1
0,4,83.47,9124.84,1
0,3,100.94,8720.22,1
0,9,89.87,3222.87,2
0,11,69.28,572.32,2
0,39,26.68,4174.81,2
0,5,119.39,1307.97,2
0,32,53.92,4765.08,2
0,16,95.56,9110.67,1
0,72,80.34,3576.22,2
0,37,117.73,8942.06,1
0,72,116.31,10659.77,1
0,10,62.32,7464.19,1
0,3,104.93,9350.78,1
0,17,30.28,9273.07,1
0,3,39.57,237.82,2
0,16,76.48,7290.81,1
0,7,39.62,8484.56,1
0,16,30.13,4897.22,2
0,72,38.69,9307.44,1
0,8,51.9,7311.56,1
0,72,118.22,7539.59,1
0,6,26.97,4498.28,2
1,5,26.71,9723.94,0
0,19,22.47,4180.56,2
0,46,42.41,1629.86,2
1,34,29.4,3470.26,0
1,32,22.5,4426.86,0
0,8,63.4,8282.97,1
0,0,100.07,975.65,2
0,4,28.16,7249.73,1
0,10,28.8,5643.96,1
0,72,100.77,3494.45,2
0,63,51.41,4356.42,2
0,5,69.02,7687.34,1
1,32,97.65,6622.24,0
0,21,59.7,803.78,2
0,1,20.02,1110.11,2
0,11,60.45,7739.76,1
0,16,108.42,9679.64,1
0,27,30.49,1787.76,2
0,8,86.97,6555.87,1
0,67,68.72,2282.25,2
0,15,72.26,10829.71,1
0,7,102.67,6917.71,1
1,9,98.16,8987.54,0
0,34,118.47,3201.4,2
0,25,35.16,3735.36,2
0,33,43.88,1620.04,2
0,8,94.16,7481.68,1
0,9,103.6,10797.01,1
0,12,101.84,5405.24,1
0,5,64.57,1078.89,2
1,29,29.02,165.69,0
0,9,55.42,7798.89,1
0,9,46.6,1987.69,2
0,7,70.1,10278.76,1
0,15,34.78,8080.63,1
0,36,83.19,2072.8,2
0,45,116.47,9928.36,1
0,40,93.01,2450.95,2
0,24,118.39,10509.94,1
0,8,90.59,3173.54,2
0,33,93.64,1394.54,2
0,1,72.25,6290.33,1
0,40,114.7,6556.93,1
0,37,54.68,6919.65,1
0,27,95.94,3000.46,2
0,2,18.16,4096.89,2
0,72,100.53,10908.03,1
0,35,48.01,4405.01,2
1,33,26.56,1139.83,0
0,1,91.81,4700.11,2
1,12,71.26,2112.3,0
1,2,47.21,1651.91,0
0,11,94.92,4219.47,2
0,21,61.43,3795.61,2
1,52,84.32,1301.7,0
0,8,119.79,205.35,2
0,24,18.41,6970.64,1
0,4,104.49,2650.07,2
0,10,74.99,9424.8,1
0,72,55.97,3416.83,2
0,34,115.03,6004.49,1
0,19,113.78,2450.7,2
0,7,24.18,2049.45,2
1,11,89.0,10393.71,0
0,4,79.51,7459.83,1
0,10,87.13,10446.85,1
0,4,114.74,2216.9,2
0,39,119.02,8241.81,1
0,2,43.01,2474.48,2
1,5,47.97,8245.95,0
0,29,92.95,9139.88,1
0,58,89.63,2364.27,2
0,72,32.87,4047.09,2
0,45,114.72,6668.29,1
1,5,100.21,10017.77,0
0,8,51.81,320.34,2
0,51,77.21,6148.94,1
0,55,91.84,1526.98,2
1,25,108.01,4681.67,0
0,9,118.91,5883.65,1
0,6,90.1,8687.35,1
0,47,77.7,10979.29,1
1,5,115.59,6167.83,0
0,27,70.62,4749.09,2
0,72,41.25,5593.77,2
0,30,27.63,6627.37,1
0,7,34.18,944.73,2
0,8,78.38,809.6,2
0,2,86.58,3795.84,2
1,28,96.94,670.45,0
0,18,48.87,5457.96,2
1,5,55.79,2851.95,0
0,6,99.27,597.29,2
0,0,32.86,582.25,2
0,72,105.81,4518.73,2
0,44,46.82,3655.61,2
1,12,64.93,8962.61,0
0,72,41.16,1455.09,2
0,28,32.78,320.6,2
0,34,95.07,681.85,2
0,28,98.97,3666.2,2
0,35,51.16,6678.23,1
0,4,109.97,5511.79,1
1,20,87.23,6278.59,0
0,47,71.41,6902.69,1
0,0,104.56,3417.98,2
0,3,107.53,9999.36,1
1,7,79.14,118.0,0
0,8,77.6,1987.4,2
0,5,87.84,7114.16,1
0,24,76.06,10703.33,1
0,8,77.07,1692.33,2
0,4,79.02,7784.43,1
1,59,50.85,2721.77,0
0,29,94.88,2225.13,2
0,7,54.54,3367.42,2
0,11,84.06,1883.85,2
0,33,92.1,5777.69,1
0,39,74.8,10425.9,1
0,4,41.75,10152.57,1
0,68,77.01,5891.83,1
0,38,101.35,8143.66,1
0,48,26.18,2194.3,2
0,3,85.16,6128.17,1
1,3,29.05,8543.7,0
0,9,84.07,3561.07,2
0,1,46.45,2316.79,2
0,2,108.85,3212.04,2
0,3,58.38,3055.67,2
0,31,57.25,2995.22,2
0,0,105.06,727.07,2
0,2,116.24,5496.38,1
0,72,20.93,1778.07,2
0,2,68.05,9890.17,1
0,19,75.74,8817.33,1
0,25,112.48,10016.51,1
0,72,78.61,9601.38,1
0,57,76.9,3936.44,2
0,14,93.43,8509.51,1
0,71,98.69,5491.7,2
0,14,65.8,2826.64,2
0,27,34.43,3986.07,2
1,7,105.28,6298.64,0
0,25,34.83,9303.04,1
0,19,117.96,153.75,2
0,23,55.01,4861.72,2
0,28,115.05,81.94,2
1,4,89.58,3176.6,0
0,8,106.25,4521.55,2
0,33,114.14,5134.3,2
0,4,86.29,8150.6,1
0,10,97.59,8059.6,1
0,27,38.72,3445.78,2
0,69,56.96,4047.51,2
1,1,58.86,2867.28,0
0,18,35.42,4318.18,2
0,2,75.18,3744.45,2
1,11,94.07,7318.71,0
0,4,43.71,1449.42,2
1,26,92.09,335.74,0
1,35,102.18,236.57,0
0,7,19.55,10618.35,1
0,31,103.68,2723.44,2
0,14,40.12,8059.25,1
1,8,19.73,7921.12,0
0,18,99.75,9201.64,1
0,11,98.46,4280.43,2
1,6,19.42,7135.58,0
1,35,25.31,4004.08,0
0,39,111.99,2594.54,2
0,40,110.33,10850.03,1
1,12,71.27,9937.0,0
0,4,105.12,5117.41,2
1,45,48.41,6694.92,0
0,9,33.79,10664.48,1
0,34,117.56,3782.42,2
0,42,76.96,9250.27,1
0,36,48.22,4371.34,2
0,12,70.77,9605.09,1
0,69,79.32,5363.76,2
0,26,51.78,5868.92,1
0,21,96.23,8323.58,1
0,29,22.07,9697.14,1
0,1,42.62,2931.39,2
0,12,49.84,8278.4,1
0,53,91.8,10440.08,1
0,4,99.24,267.18,2
0,13,81.76,1741.6,2
0,12,51.82,3912.38,2
0,11,44.68,8654.28,1
1,20,58.49,6445.5,0
1,72,62.81,10143.84,0
0,7,78.63,5103.07,2
1,30,87.12,5514.67,0
0,35,56.57,6171.32,1
0,21,30.25,9978.67,1
0,2,62.83,672.8,2
0,21,54.88,5629.04,1
0,72,24.09,4153.08,2
0,10,38.95,3382.02,2
0,25,60.33,7884.21,1
0,72,74.42,3730.19,2
0,39,73.55,289.5,2
0,29,39.65,2369.54,2
0,72,41.55,3221.73,2
0,4,90.51,2010.45,2
0,37,52.81,8404.95,1
0,13,37.31,6671.33,1
1,11,64.23,7607.49,0
0,18,68.31,5965.31,1
0,0,38.33,7512.34,1
0,9,65.66,7873.59,1
0,4,94.32,8360.11,1
0,3,35.41,8558.99,1
0,10,54.58,3035.46,2
0,40,28.34,2666.42,2
0,5,39.94,7956.21,1
0,18,62.09,10810.76,1
0,34,117.39,7978.08,1
0,6,89.3,5575.94,1
0,64,113.02,3370.99,2
0,50,28.68,1470.85,2
0,7,114.08,6412.09,1
0,72,70.13,930.42,2
0,27,46.8,10195.33,1
0,8,104.17,725.4,2
0,28,79.34,1495.07,2
1,27,27.26,8356.66,0
0,23,72.6,9776.88,1
1,31,83.47,2020.55,0
0,7,19.81,595.09,2
0,72,74.06,1507.5,2
0,48,55.05,7861.67,1
0,34,64.6,9786.87,1
0,0,29.11,7883.81,1
0,22,69.29,4039.8,2
0,30,118.44,6656.4,1
0,48,93.29,5611.13,1
0,72,112.64,5738.02,1
1,61,46.3,9085.75,0
0,13,57.01,10511.91,1
0,56,84.2,9763.04,1
0,0,93.44,8348.54,1
0,10,49.02,5047.0,2
0,3,53.45,2634.03,2
1,53,31.44,4150.4,0
0,65,87.23,9510.61,1
0,7,53.55,104.38,2
0,11,32.15,3547.42,2
0,72,82.67,5385.83,2
0,20,19.27,460.21,2
0,17,114.91,1168.45,2
1,17,83.39,7793.58,0
0,29,80.0,10378.81,1
1,72,84.01,7426.23,0
0,11,50.29,2607.38,2
0,4,41.79,3289.21,2
0,5,72.75,6682.3,1
0,0,114.29,10844.38,1
1,20,46.67,7191.7,0
0,66,91.07,934.08,2
0,31,117.27,1916.74,2
0,72,74.04,7849.31,1
0,60,64.78,8179.27,1
0,16,94.3,866.89,2
0,16,32.42,6370.68,1
0,24,21.38,9027.82,1
0,2,53.89,2117.98,2
0,23,103.4,7766.11,1
0,15,25.91,4542.55,2
0,25,78.29,7221.99,1
1,20,23.25,6167.24,0
0,9,69.1,10317.15,1
0,23,31.27,1749.23,2
0,11,79.97,2350.94,2
0,5,49.64,1967.59,2
0,28,55.81,7712.92,1
0,9,24.42,2046.67,2
0,54,97.16,4579.22,2
0,5,79.47,9746.43,1
1,22,77.32,3073.39,0
0,21,85.13,1663.37,2
0,5,85.7,5874.86,1
0,14,53.93,7216.88,1
0,28,46.0,5468.49,2
1,9,48.35,6020.23,0
0,3,100.76,2137.1,2
0,23,35.29,3256.36,2
0,6,67.65,7257.6,1
0,28,81.82,8876.68,1
0,45,70.66,3981.21,2
0,3,74.44,7808.95,1
0,14,103.58,2189.8,2
0,14,51.6,3285.22,2
0,25,53.28,91.55,2
0,10,34.92,2436.88,2
0,13,94.53,8384.75,1
0,0,39.14,951.82,2
0,3,71.02,876.06,2
0,21,105.12,7039.99,1
0,6,28.01,5513.23,1
0,3,35.19,8524.7,1
0,9,36.72,4312.93,2
0,4,31.71,6191.57,1
0,1,114.38,10349.93,1
1,8,93.48,9567.64,0
1,4,64.41,6624.97,0
1,40,48.36,5285.03,0
0,1,29.75,553.36,2
0,34,20.41,5811.54,1
0,12,84.29,5166.19,2
0,28,69.52,10232.3,1
0,1,78.43,4467.15,2
0,63,35.08,6845.75,1
0,36,78.05,10063.21,1
1,3,38.85,2156.61,0
0,6,22.18,4145.88,2
0,25,106.96,4023.71,2
0,63,102.39,3133.29,2
1,14,78.06,9490.24,0
0,16,111.31,7496.0,1
0,6,96.77,10726.9,1
1,12,46.0,9011.88,0
0,8,111.3,9714.93,1
0,10,57.59,469.46,2
0,0,118.3,216.1,2
0,1,89.16,7284.67,1
0,28,39.25,6730.77,1
0,28,58.35,291.18,2
1,10,85.86,798.39,0
1,54,98.42,5256.3,0
0,7,76.8,8803.72,1
0,12,93.52,7954.53,1
0,32,67.13,5778.83,1
0,34,47.09,4927.2,2
0,49,89.89,8645.95,1
0,0,102.11,3444.84,2
0,5,50.41,8058.34,1
0,25,61.61,10077.24,1
1,10,52.46,2161.29,0
0,1,32.85,4548.12,2
0,22,96.19,4492.01,2
0,12,70.03,4790.83,2
0,11,34.52,693.05,2
0,7,53.32,7901.1,1
0,0,93.56,6885.82,1
0,5,56.61,9534.86,1
0,16,25.32,704.96,2
0,8,28.76,5843.6,1
0,51,119.81,2216.05,2
0,3,61.65,7475.81,1
1,52,82.88,8622.86,0
0,12,81.17,5266.1,2
1,8,34.94,2262.45,0
0,9,58.7,6724.27,1
1,10,90.87,1562.09,0
0,17,61.32,4129.73,2
0,10,78.11,6778.86,1
0,26,55.83,10381.45,1
0,13,45.04,7311.36,1
0,27,19.91,6983.48,1
0,23,61.28,7975.34,1
0,7,58.45,1884.46,2
0,41,64.97,8096.03,1
0,40,18.67,2686.59,2
0,72,70.77,8177.78,1
0,4,30.05,9819.7,1
0,47,68.62,5666.73,1
0,51,52.89,133.43,2
1,25,22.46,6605.2,0
0,17,34.89,3804.6,2
0,72,44.32,6063.62,1
1,72,41.8,4608.85,0
0,25,79.56,7284.84,1
0,11,22.5,3485.21,2
0,42,63.27,4158.92,2
0,2,101.28,436.84,2
0,8,47.12,1576.34,2
0,72,79.69,4211.0,2
0,42,112.08,44.84,2
0,70,98.43,170.4,2
0,22,102.8,6950.65,1
0,13,62.67,4923.71,2
0,72,26.53,30.66,2
0,9,67.65,2796.43,2
0,35,25.43,6989.6,1
0,20,68.72,2204.52,2
1,6,68.71,8647.96,0
