ts_start,duration_ms,user_id_hash,user_session_hash,language,tier,next_tier,app_section,app_event,choice_action,availability_result,loyalty_balance,purchase_eligibility,api_endpoint,offer_name,offer_value,partner_link,payment_source,action_result,amount_TND,amount_GO,status_result,status_code,technical_flag,internal_error_code,transaction_note,engagement_action,features,banners,client_agent,smartphone_type,source_file,product_name,offer_category,feature_scaled_0,feature_scaled_1,feature_scaled_2,engagement_score
2026-02-23 11:32:50.970,17,f068628074a8aa6f52d5bc55ce5767f3,7xjz6us7rp422ta8,ar,Silver,Gold,gamification,mfawlaGameStatus,Confirm,partial,2220,eligible,/gamification/mfawlaGameStatus,,,,,success,,,OK,200,0,,,Check In,,Ramadan_2026,OkHttp-library-4.12.0,Nokia G60,SmartSeg_Synthetic_v1.csv,,,0.9358998822353136,,-0.6004562591894422,1110.0
2026-02-23 16:40:42.848,93,18c5ab270a8b56941c9a18f7220ec360,42g05kbkv7mqxs6e,ar,Bronze,Silver,loyalty,getpromos,Buy Now,available,1363,not_eligible,/loyalty/getpromos,,,,,success,,,OK,200,0,,escalated,,family_plan,Back_to_School,OkHttp-library-4.12.0,Samsung Galaxy A54,SmartSeg_Synthetic_v1.csv,,,-0.1570392193440077,,-0.6004562591894422,681.5
2026-02-23 12:34:42.282,89,1506ef9f2991be3dfc4a98f982d42cd7,xg2myr06nkwfg3mw,ar,Gold,Platinum,loyalty,getpromos,Cancel,pending,1115,not_eligible,/loyalty/getpromos,,,,,success,,,OK,200,0,,auto_approved,Claim Gift,,Winter_Promo,OkHttp-library-4.12.0,Samsung Galaxy A54,SmartSeg_Synthetic_v1.csv,,,-0.47331564547197935,,-0.6004562591894422,557.5
2026-02-23 15:12:02.127,7,76cfb43b178a7849a32190c377364c9a,pmc3skxlojsyt5ws,fr,Silver,Gold,cvm,getArpuUpsellOffer,Claim Gift,unavailable,2523,not_eligible,/cvm/getArpuUpsellOffer,Flexi_8GO,8 GO,,,success,36.232,8 GO,OK,200,1,,discount_applied,,multi_sim,Winter_Promo,OkHttp-library-4.12.0,Vivo Y35,SmartSeg_Synthetic_v1.csv,Flexi_8GO,bundles,1.3223182577061823,0.7457623561120599,1.6650014220014935,853.411
2026-02-23 17:07:07.002,168,ee6395666a11473ad0c868733b78bd19,56wafftouhylu6k7,fr,Platinum,Platinum,markiNharek,rechargeOnConfirmPage,View Details,,545,not_eligible,/markiNharek/rechargeOnConfirmPage,Flexi_15GO,15 GO,,MainAccount,success,31.186,15 GO,OK,200,1,,promo_applied,Refer Friend,roaming,,axios/1.4.0,Oppo A78,SmartSeg_Synthetic_v1.csv,Flexi_15GO,bundles,-1.2002413022983658,0.39432191296709324,1.6650014220014935,192.395
2026-02-23 13:19:13.521,57,7cf096e9b1dec115e64631c9f4a397c3,f6f7low4vssrural,fr,Silver,Gold,bundles,getAllPromos,Cancel,unavailable,1311,eligible,/bundles/getAllPromos,,,,,success,,,OK,200,0,,,,roaming;loyalty_points;esim,Referral_Bonus,Retrofit/2.9.0,Xiaomi Redmi Note 12,SmartSeg_Synthetic_v1.csv,,,-0.22335524417729208,,-0.6004562591894422,655.5
2026-02-23 13:09:23.543,489,2eea338403b45c0e19373f27bb379557,3e1i1p0bq1s9ryll,ar,Bronze,Silver,payment,options,Share,partial,2935,eligible,/payment/options,,,,unknown,success,,,Created,201,0,,,,loyalty_points;early_access,,OkHttp-library-4.12.0,Tecno Spark 10,SmartSeg_Synthetic_v1.csv,,,1.847745223692974,,-0.6004562591894422,1467.5
2026-02-23 14:52:10.727,38,3f61a4be6e22c8ce135464853e511855,4fejgxaa2ilgb0s0,fr,Gold,Platinum,info,getProfileDetails,Confirm,,2875,eligible,/info/getProfileDetails,,,,,success,,,OK,200,1,,,,data_sharing,Ramadan_2026,OkHttp-library-4.9.1,Tecno Spark 10,SmartSeg_Synthetic_v1.csv,,,1.7712267335007226,,1.6650014220014935,1438.0
2026-02-23 15:26:06.183,,4c139191ee84cc39a0a4a6ef28246051,d0w9ry79kvls9meu,ar,Silver,Gold,gamification,mfawlawebview,Back,unavailable,1310,pending,/gamification/mfawlawebview,,,,,success,,,OK,200,0,,discount_applied,Claim Gift,family_plan,Ramadan_2026,Retrofit/2.9.0,Vivo Y35,SmartSeg_Synthetic_v1.csv,,,-0.22463055234716292,,-0.6004562591894422,655.0
2026-02-23 13:20:35.255,35,2e68bfecadefddb02c554e5f91aeabda,lc83gy1fkoldxb7g,fr,Bronze,Silver,bundles,getBundles,View Details,available,980,not_eligible,/bundles/getBundles,CnC_6GO,6 GO,,,success,38.867,6 GO,OK,200,0,,promo_applied,,,,OkHttp-library-4.12.0,iPhone 13,SmartSeg_Synthetic_v1.csv,CnC_6GO,cvm,-0.6454822484045446,0.9292830789988982,-0.6004562591894422,339.622
2026-02-23 12:46:12.204,150,080deba570fbe62b347a44e184e2f6c4,z6kf1622vxyzx9jp,fr,Bronze,Silver,loyalty,getussdcodes,,unavailable,271,eligible,/loyalty/getussdcodes,,,,,success,,,Created,201,0,,retry_attempt,Refer Friend,multi_sim;auto_renewal,Ramadan_2026,Retrofit/2.9.0,Nokia G60,SmartSeg_Synthetic_v1.csv,,,-1.5496757408429795,,-0.6004562591894422,135.5
2026-02-23 17:44:37.818,463,07b2cc1f71f40f2adda97098ad5fafc0,cjg8vuazxkdq95g3,ar,Gold,Platinum,bundles,getBundles,Buy Now,pending,1016,not_eligible,/bundles/getBundles,SPIN_WHEEL,Spin Wheel,,,success,,Spin Wheel,OK,200,0,,,,data_sharing,Ooredoo_Anniversary,OkHttp-library-4.9.1,iPhone 14,SmartSeg_Synthetic_v1.csv,SPIN_WHEEL,gamification,-0.5995711542891938,,-0.6004562591894422,508.0
2026-02-23 11:15:34.369,110,f21c27266cfb2bd5a795f85f99fa0024,s2wyjxtjgcedqqzr,fr,Bronze,Silver,payment,rechargeOnConfirmPage,More Info,available,1819,pending,/payment/rechargeOnConfirmPage,SPIN_WHEEL,Spin Wheel,,unknown,success,,Spin Wheel,OK,200,0,,retry_attempt,,priority_support;data_sharing,Referral_Bonus,OkHttp-library-4.12.0,Tecno Spark 10,SmartSeg_Synthetic_v1.csv,SPIN_WHEEL,gamification,0.42450130611710146,,-0.6004562591894422,909.5
2026-02-23 14:36:45.280,1926,7b28da3911f573ceef17f8598d68fa1a,gd1t53ykyydu3asn,fr,Bronze,Silver,account,getProfileDetails,,,1819,eligible,/account/getProfileDetails,,,,,success,,,OK,0,0,,flagged_fraud,,cashback;priority_support,Winter_Promo,OkHttp-library-4.12.0,iPhone 14,SmartSeg_Synthetic_v1.csv,,,0.42450130611710146,,-0.6004562591894422,909.5
2026-02-23 13:47:25.482,??,2509778f69351e045c0bd37ffb2703f5,iuu9k9xjuy0bvr6k,ar,Silver,Gold,account,getColors,Check In,partial,2249,eligible,/account/getColors,,,,,success,,,OK,200,0,,retry_attempt,,early_access;family_plan,GameZone_Launch,OkHttp-library-4.12.0,Oppo A78,SmartSeg_Synthetic_v1.csv,,,0.9728838191615684,,-0.6004562591894422,1124.5
2026-02-23 17:02:17.716,449,f068628074a8aa6f52d5bc55ce5767f3,7xjz6us7rp422ta8,ar,Silver,Gold,bundles,getInternetBundles,Share,partial,2220,eligible,/bundles/getInternetBundles,Flexi_220Mo_B2C_CnC,220 Mo,,,success,48.965,220 Mo,OK,200,0,,retry_attempt,,,Ramadan_2026,OkHttp-library-4.12.0,Nokia G60,SmartSeg_Synthetic_v1.csv,Flexi_220Mo_B2C_CnC,bundles,0.9358998822353136,1.6325818492878152,-0.6004562591894422,756.322
2026-02-23 16:16:24.262,10,66ba6d42d4fb9d94e80908fa076d2125,chzjq8cxx6mdk5n9,ar,Gold,Platinum,account,getColors,,pending,955,not_eligible,/account/getColors,,,,,success,,,OK,200,0,,first_try,,priority_support;data_sharing,Spring_Sale,OkHttp-library-4.12.0,Oppo A78,SmartSeg_Synthetic_v1.csv,,,-0.6773649526513159,,-0.6004562591894422,477.5
2026-02-23 13:24:41.288,330,375d5f1469ecddebb71d4eebfbf9210b,mrsezytkw2837c6q,fr,Gold,Platinum,gamification,fetchGoals,Skip,,1925,eligible,/gamification/fetchGoals,,,,,success,,,OK,200,1,,vip_fast_track,,esim;data_sharing;family_plan,Spring_Sale,axios/1.4.0,Xiaomi Redmi Note 12,SmartSeg_Synthetic_v1.csv,,,0.5596839721234119,,1.6650014220014935,963.0
2026-02-23 15:58:15.402,132,5bf39f1b151467671dbd0eb4437b37ce,246hid25owf75935,fr,Gold,Platinum,gamification,fetchGoals,Share,partial,488,not_eligible,/gamification/fetchGoals,,,,,success,,,OK,200,1,,,Check In,family_plan,Back_to_School,Retrofit/2.9.0,Oppo A78,SmartSeg_Synthetic_v1.csv,,,-1.2729338679810045,,1.6650014220014935,244.5
2026-02-23 12:34:23.881,867,49123409332ad2b0fb2b4112a8d851ad,cxlvpymb5m9j98cw,fr,Gold,Platinum,payment,rechargeOnConfirmPage,,unavailable,2183,not_eligible,/payment/rechargeOnConfirmPage,Flexi_220Mo_B2C_CnC,220 Mo,,unknown,failure,6.136,220 Mo,Internal Server Error,500,1,ERR_DUPLICATE_TXN,manual_review,,multi_sim,,axios/1.4.0,iPhone 14,SmartSeg_Synthetic_v1.csv,Flexi_220Mo_B2C_CnC,bundles,0.8887134799500921,-1.3503437827882405,1.6650014220014935,730.045
2026-02-23 11:29:54.978,46,08b7b2b47ae1ffe6b14b73b45677ef86,lw2qitngvn1kicjn,ar,Bronze,Silver,account,getColors,Buy Now,,794,eligible,/account/getColors,,,,,success,,,OK,200,0,,manual_review,,cashback,Spring_Sale,OkHttp-library-4.12.0,Huawei P40,SmartSeg_Synthetic_v1.csv,,,-0.8826895680005232,,-0.6004562591894422,397.0
2026-02-23 10:57:54.022,104,8b584f2374bf74da886cf0302cf2c513,h0mx1egok01tnzrf,en,Bronze,Silver,colors,options,Share,pending,2359,eligible,/colors/options,,,,,success,,,OK,200,0,,vip_fast_track,,,Back_to_School,OkHttp-library-4.12.0,Vivo Y35,SmartSeg_Synthetic_v1.csv,,,1.1131677178473622,,-0.6004562591894422,1179.5
2026-02-23 12:49:53.399,845,d8fc35734f74d9ffe6fb585dd07c3c4f,pp3xvkvzrgol0w82,fr,Bronze,Silver,markiNharek,rechargeOnConfirmPage,,,1986,pending,/markiNharek/rechargeOnConfirmPage,Flexi_8GO,8 GO,,,success,32.371,8 GO,OK,200,1,,discount_applied,Watch Ad,auto_renewal;multi_sim,,OkHttp-library-4.12.0,Huawei P40,SmartSeg_Synthetic_v1.csv,Flexi_8GO,bundles,0.637477770485534,0.4768540027662978,1.6650014220014935,673.124
2026-02-23 12:39:47.413,343,978fae98e0ad71bbf29ed982e1032fa2,n8ztv05x4w7kyhqi,fr,Platinum,Platinum,cvm,cvmBundles,More Info,unavailable,2489,pending,/cvm/cvmBundles,CnC_6GO,6 GO,,,success,12.509,6 GO,OK,200,0,,vip_fast_track,,data_sharing;early_access;priority_support,,OkHttp-library-4.12.0,Oppo A78,SmartSeg_Synthetic_v1.csv,CnC_6GO,cvm,1.2789577799305731,-0.9064813285347976,-0.6004562591894422,833.836
2026-02-23 12:58:10.039,46,ef2e419a686b59ba57934f26bcde4d22,cbbmhnqo7yirq8rt,fr,Gold,Platinum,bundles,cvmBundles,Cancel,unavailable,1254,eligible,/bundles/cvmBundles,Flexi_8GO,8 GO,,,success,28.185,8 GO,OK,200,0,,,,loyalty_points;early_access,GameZone_Launch,OkHttp-library-4.9.1,Xiaomi Redmi Note 12,SmartSeg_Synthetic_v1.csv,Flexi_8GO,bundles,-0.29604780985993073,0.18531026614227256,-0.6004562591894422,427.395
2026-02-23 10:44:16.364,684,5bf39f1b151467671dbd0eb4437b37ce,246hid25owf75935,fr,Gold,Platinum,payment,onBundlePaymentInitiate,Share,,488,not_eligible,/payment/onBundlePaymentInitiate,Facebook_Plus_Mobile_Pre,Unlimited FB,,credit_card,success,18.851,Unlimited FB,OK,200,1,,discount_applied,,loyalty_points;priority_support,Spring_Sale,Retrofit/2.9.0,Oppo A78,SmartSeg_Synthetic_v1.csv,Facebook_Plus_Mobile_Pre,cvm,-1.2729338679810045,-0.46477794160943536,1.6650014220014935,169.284
2026-02-23 17:03:28.590,22,2eea338403b45c0e19373f27bb379557,3e1i1p0bq1s9ryll,ar,Bronze,Silver,info,getAllLineDetails,More Info,partial,2935,eligible,/info/getAllLineDetails,,,,,success,,,OK,200,0,,promo_applied,,early_access;esim,Referral_Bonus,OkHttp-library-4.12.0,Tecno Spark 10,SmartSeg_Synthetic_v1.csv,,,1.847745223692974,,-0.6004562591894422,1467.5
2026-02-23 14:46:53.484,255,50ad57a5fcd1c913b0fd9de920385ebc,ui3do7002g3yu6vk,ar,Silver,Gold,info,getSubscriberInfoAll,View Details,partial,2137,pending,/info/getSubscriberInfoAll,,,,,success,,,OK,200,1,,,,,Ramadan_2026,Retrofit/2.9.0,Samsung Galaxy A54,SmartSeg_Synthetic_v1.csv,,,0.8300493041360328,,1.6650014220014935,1069.0
2026-02-23 14:33:06.481,5,7cc7f7c1ca5cfa2e24377feee66aec18,5sywp0rxxf36wa7s,fr,Silver,Gold,bundles,getAllPromos,,,907,pending,/bundles/getAllPromos,Flexi_220Mo_B2C_CnC,220 Mo,,,success,35.733,220 Mo,OK,200,0,,,,esim;early_access,,OkHttp-library-4.12.0,iPhone 14,SmartSeg_Synthetic_v1.csv,Flexi_220Mo_B2C_CnC,bundles,-0.7385797448051169,0.7110083368632808,-0.6004562591894422,314.244
2026-02-23 17:04:03.296,160,57324615b583a18a7654e6dc647e25fe,exf7jxjn6fokzixz,fr,Silver,Gold,cvm,getOffers,Skip,,1360,not_eligible,/cvm/getOffers,,,,,success,,,OK,200,0,,retry_attempt,,multi_sim,,OkHttp-library-4.9.1,iPhone 14,SmartSeg_Synthetic_v1.csv,,,-0.16086514385362027,,-0.6004562591894422,680.0
2026-02-23 11:39:10.066,48,c5d94c4e52a03257b5ff3fca2d67fc64,almjegqtoamdvlnk,fr,Bronze,Silver,payment,rechargeOnConfirmPage,Share,partial,2532,eligible,/payment/rechargeOnConfirmPage,,,,MainAccount,success,,,OK,200,0,,escalated,,esim;data_sharing;multi_sim,Ooredoo_Anniversary,Volley/1.2.1,Tecno Spark 10,SmartSeg_Synthetic_v1.csv,,,1.3337960312350199,,-0.6004562591894422,1266.0
2026-02-23 15:13:59.217,9,2137aace61d60fd4d7e4be63a6587209,o3lqi7e1ddqlem1q,fr,Gold,Platinum,bundles,getAllPromos,Back,partial,915,not_eligible,/bundles/getAllPromos,,,,,success,,,OK,200,0,,,,cashback;priority_support,GameZone_Launch,OkHttp-library-4.12.0,Samsung Galaxy A54,SmartSeg_Synthetic_v1.csv,,,-0.72837727944615,,-0.6004562591894422,457.5
2026-02-23 17:57:55.649,55,9ceeb70004106c5f225ae9abeb161790,u118qqvaecw9yil8,ar,Bronze,Silver,payment,onBundlePaymentInitiate,Subscribe,available,2499,not_eligible,/payment/onBundlePaymentInitiate,SCRATCHY,Scratch & Win,,true,success,,Scratch & Win,OK,200,0,,retry_attempt,,early_access;cashback,GameZone_Launch,OkHttp-library-4.12.0,Xiaomi Redmi Note 12,SmartSeg_Synthetic_v1.csv,SCRATCHY,gamification,1.2917108616292818,,-0.6004562591894422,1249.5
2026-02-23 15:49:27.674,85,a90454061dd91f418a4b3d94638ec243,dh0uyhnqyyf9rk7d,ar,Gold,Platinum,markiNharek,rechargeInitiatePage,,available,2743,eligible,/markiNharek/rechargeInitiatePage,Promo_Ramadan_10GO,10 GO Ramadan,,unknown,success,8.147,10 GO Ramadan,OK,200,0,,retry_attempt,,priority_support;cashback;family_plan,Winter_Promo,OkHttp-library-4.12.0,Oppo A78,SmartSeg_Synthetic_v1.csv,Promo_Ramadan_10GO,bundles,1.60288605507777,-1.2102829957956667,-0.6004562591894422,917.049
2026-02-23 10:06:30.282,43,4e2d0944378c96ca87b5fc35203b3591,7hv3izky22ubtxcx,fr,Silver,Gold,account,getAllLineDetails,,pending,699,pending,/account/getAllLineDetails,,,,,success,,,OK,200,1,,vip_fast_track,,family_plan,,OkHttp-library-4.12.0,Vivo Y35,SmartSeg_Synthetic_v1.csv,,,-1.0038438441382544,,1.6650014220014935,350.0
2026-02-23 13:12:34.182,29,ed97ccd97388fae9384e65eac3ec4b52,mvihcwi64ciyhe7u,fr,Gold,Platinum,bundles,getArpuUpsellOffer,,,1455,eligible,/bundles/getArpuUpsellOffer,CnC_6GO,6 GO,,,success,13.143,6 GO,OK,200,0,,manual_review,,data_sharing;esim;cashback,Spring_Sale,OkHttp-library-4.12.0,Huawei P40,SmartSeg_Synthetic_v1.csv,CnC_6GO,cvm,-0.03971086771588919,-0.8623249193088941,-0.6004562591894422,489.381
2026-02-23 11:43:12.052,415,07b2cc1f71f40f2adda97098ad5fafc0,cjg8vuazxkdq95g3,ar,Gold,Platinum,bundles,getArpuUpsellOffer,Skip,,1016,not_eligible,/bundles/getArpuUpsellOffer,Flexi_15GO,15 GO,,,success,35.289,15 GO,OK,200,0,,first_try,,loyalty_points;roaming;auto_renewal,Back_to_School,OkHttp-library-4.9.1,iPhone 14,SmartSeg_Synthetic_v1.csv,Flexi_15GO,bundles,-0.5995711542891938,0.6800849209385159,-0.6004562591894422,350.43
2026-02-23 15:08:35.856,130,8ae5caa45791cf1cf475509a628f5e22,rdoqivbkv4ykadej,fr,Silver,Gold,cvm,cvmBundles,,unavailable,1024,not_eligible,/cvm/cvmBundles,,,,,success,,,Created,201,0,,retry_attempt,,,,OkHttp-library-4.12.0,Samsung Galaxy S23,SmartSeg_Synthetic_v1.csv,,,-0.589368688930227,,-0.6004562591894422,512.0
2026-02-23 11:36:33.391,57,6cc1c0c96a1fd1b18bd066292e597dab,9419qzpniqfg51bx,ar,Platinum,Platinum,colors,options,Check In,partial,2479,eligible,/colors/options,,,,,success,,,OK,200,0,,promo_applied,,early_access;data_sharing,GameZone_Launch,OkHttp-library-4.12.0,Samsung Galaxy S23,SmartSeg_Synthetic_v1.csv,,,1.2662046982318647,,-0.6004562591894422,1239.5
2026-02-23 13:43:01.780,21,46fe633ba1cb81147542dffb7c5df20a,d4bepejzhyapdswz,fr,Gold,Platinum,cvm,getUpsellOffer,Subscribe,unavailable,749,eligible,/cvm/getUpsellOffer,,,,,failure,,,Bad Request,400,1,ERR_OFFER_EXPIRED,discount_applied,,roaming,Winter_Promo,OkHttp-library-4.9.1,Tecno Spark 10,SmartSeg_Synthetic_v1.csv,,,-0.9400784356447117,,1.6650014220014935,375.0
2026-02-23 13:42:52.615,58,449608ba4b7486e2b9db9aafee153318,j37c9h42m44gv3z6,fr,Gold,Platinum,bundles,getUpsellOffer,,partial,1440,not_eligible,/bundles/getUpsellOffer,,,,,failure,,,Bad Request,400,0,ERR_INVALID_MSISDN,vip_fast_track,,esim;early_access,Ooredoo_Anniversary,OkHttp-library-4.9.1,Nokia G60,SmartSeg_Synthetic_v1.csv,,,-0.058840490263951994,,-0.6004562591894422,720.0
2026-02-23 17:56:43.756,74,5e966cde74518f14cabd5ee1d62c5a8d,xw69hzgopjdn8ezp,en,Silver,Gold,gamification,getAvailableGames,View Details,unavailable,1382,pending,/gamification/getAvailableGames,,,,,success,,,OK,200,1,,discount_applied,Daily Login,priority_support,,OkHttp-library-4.12.0,Vivo Y35,SmartSeg_Synthetic_v1.csv,,,-0.1328083641164615,,1.6650014220014935,691.5
2026-02-23 10:10:45.753,190,ec175fd2fed246a8be24c8e8bb93e114,uelcqse3tv1es53s,fr,Bronze,Silver,colors,getColors,More Info,,3082,not_eligible,/colors/getColors,,,,,success,,,OK,200,1,,flagged_fraud,,esim;early_access;roaming,,OkHttp-library-4.12.0,iPhone 13,SmartSeg_Synthetic_v1.csv,,,2.035215524663989,,1.6650014220014935,1541.5
